,date
0,1998-11-13 12:07:00
1,1998-11-19 15:19:00
2,1998-11-19 16:24:00
3,1998-11-24 10:23:00
4,1998-11-30 11:22:00
5,1998-12-02 11:47:00
6,1998-12-02 13:24:00
7,1998-12-03 19:38:00
8,1998-12-04 09:15:00
9,1998-12-09 09:14:00
10,1998-12-09 09:17:00
11,1998-12-16 09:03:00
12,1998-12-16 16:35:00
13,1998-12-18 11:02:00
14,1998-12-22 11:44:00
15,1999-01-04 10:21:00
16,1999-01-04 12:11:00
17,1999-01-05 14:54:00
18,1999-01-07 16:46:00
19,1999-01-07 16:59:00
20,1999-01-08 11:38:00
21,1999-01-08 16:15:00
22,1999-01-08 16:54:00
23,1999-01-12 09:25:00
24,1999-01-12 10:13:00
25,1999-01-13 11:39:00
26,1999-01-13 14:41:00
27,1999-01-15 09:20:00
28,1999-01-15 09:25:00
29,1999-01-18 08:28:00
30,1999-01-18 17:56:00
31,1999-01-18 18:25:00
32,1999-01-20 09:37:00
33,1999-01-20 09:38:00
34,1999-01-23 17:01:00
35,1999-01-27 16:01:00
36,1999-01-27 16:02:00
37,1999-01-27 16:02:00
38,1999-01-27 16:03:00
39,1999-01-27 16:03:00
40,1999-01-27 16:03:00
41,1999-01-27 16:20:00
42,1999-01-27 16:20:00
43,1999-01-28 16:37:00
44,1999-02-01 09:51:00
45,1999-02-01 10:35:00
46,1999-02-01 10:36:00
47,1999-02-10 11:01:00
48,1999-02-22 10:04:00
49,1999-03-04 10:39:00
50,1999-03-05 15:56:00
51,1999-03-10 09:33:00
52,1999-03-10 14:14:00
53,1999-03-19 10:58:00
54,1999-03-19 14:38:00
55,1999-03-23 10:15:00
56,1999-03-25 11:54:00
57,1999-03-25 20:15:00
58,1999-04-01 09:44:00
59,1999-04-12 11:05:00
60,1999-04-12 16:40:00
61,1999-04-21 17:26:00
62,1999-05-03 16:56:00
63,1999-05-04 09:04:00
64,1999-05-05 11:48:00
65,1999-05-10 09:06:00
66,1999-05-10 16:22:00
67,1999-05-11 08:46:00
68,1999-05-11 09:27:00
69,1999-05-11 11:34:00
70,1999-05-11 16:03:00
71,1999-05-11 17:36:00
72,1999-05-11 20:10:00
73,1999-05-11 20:48:00
74,1999-05-12 11:51:00
75,1999-05-12 13:19:00
76,1999-05-12 15:25:00
77,1999-05-12 15:44:00
78,1999-05-12 16:24:00
79,1999-05-12 18:36:00
80,1999-05-13 13:26:00
81,1999-05-13 18:31:00
82,1999-05-13 18:40:00
83,1999-05-14 10:52:00
84,1999-05-17 08:20:00
85,1999-05-17 11:56:00
86,1999-05-17 16:58:00
87,1999-05-18 10:16:00
88,1999-05-19 12:42:00
89,1999-05-19 19:09:00
90,1999-05-20 09:25:00
91,1999-05-20 13:38:00
92,1999-05-20 15:27:00
93,1999-05-20 16:52:00
94,1999-05-21 14:04:00
95,1999-05-21 14:13:00
96,1999-05-21 14:57:00
97,1999-05-24 14:00:00
98,1999-05-24 16:00:00
99,1999-05-24 18:16:00
100,1999-05-25 09:12:00
101,1999-05-25 10:00:00
102,1999-05-25 10:17:00
103,1999-05-25 14:08:00
104,1999-05-25 17:06:00
105,1999-05-26 11:18:00
106,1999-05-26 11:38:00
107,1999-05-26 11:47:00
108,1999-05-26 13:17:00
109,1999-05-26 13:33:00
110,1999-05-27 07:47:00
111,1999-05-27 08:52:00
112,1999-05-27 14:16:00
113,1999-05-27 14:24:00
114,1999-05-27 15:16:00
115,1999-05-28 15:03:00
116,1999-05-28 17:25:00
117,1999-06-01 11:38:00
118,1999-06-01 12:24:00
119,1999-06-01 13:08:00
120,1999-06-01 17:14:00
121,1999-06-02 08:40:00
122,1999-06-02 09:34:00
123,1999-06-02 09:38:00
124,1999-06-02 13:02:00
125,1999-06-02 13:30:00
126,1999-06-02 15:35:00
127,1999-06-03 11:09:00
128,1999-06-03 11:58:00
129,1999-06-04 08:22:00
130,1999-06-04 10:12:00
131,1999-06-04 11:31:00
132,1999-06-06 15:16:00
133,1999-06-08 16:03:00
134,1999-06-10 10:48:00
135,1999-06-13 18:23:00
136,1999-06-14 09:12:00
137,1999-06-14 09:32:00
138,1999-06-14 09:40:00
139,1999-06-14 16:20:00
140,1999-06-14 17:36:00
141,1999-06-14 19:16:00
142,1999-06-15 08:56:00
143,1999-06-15 09:55:00
144,1999-06-15 15:15:00
145,1999-06-15 18:40:00
146,1999-06-16 09:37:00
147,1999-06-16 10:27:00
148,1999-06-16 10:58:00
149,1999-06-16 13:10:00
150,1999-06-16 13:39:00
151,1999-06-16 13:56:00
152,1999-06-16 17:57:00
153,1999-06-17 11:41:00
154,1999-06-17 15:27:00
155,1999-06-18 15:54:00
156,1999-06-21 13:45:00
157,1999-06-24 09:04:00
158,1999-06-28 09:27:00
159,1999-06-28 15:24:00
160,1999-06-29 09:50:00
161,1999-06-29 10:11:00
162,1999-06-29 11:40:00
163,1999-06-29 12:05:00
164,1999-07-01 08:50:00
165,1999-07-01 18:26:00
166,1999-07-06 11:47:00
167,1999-07-06 12:09:00
168,1999-07-06 15:14:00
169,1999-07-07 11:43:00
170,1999-07-07 12:50:00
171,1999-07-07 13:15:00
172,1999-07-07 15:23:00
173,1999-07-07 18:16:00
174,1999-07-08 08:44:00
175,1999-07-08 14:54:00
176,1999-07-09 13:15:00
177,1999-07-12 09:35:00
178,1999-07-12 15:24:00
179,1999-07-12 15:57:00
180,1999-07-13 13:40:00
181,1999-07-13 14:10:00
