node,edge,role
67,0,0
108,0,1
67,1,0
73,1,1
67,2,0
73,2,2
67,3,0
64,3,1
108,3,2
96,3,2
22,3,2
67,4,0
66,4,2
39,4,2
67,5,0
86,5,1
67,6,0
108,6,1
67,7,0
108,7,1
67,8,0
64,8,1
67,9,0
108,9,1
67,10,0
108,10,1
67,11,0
96,11,1
64,11,1
108,11,1
7,11,1
67,12,0
108,12,2
67,13,0
108,13,1
67,14,0
66,14,2
39,14,2
15,14,2
100,14,2
67,15,0
39,15,1
67,16,0
108,16,1
67,17,0
41,17,1
67,18,0
108,18,1
67,19,0
64,19,2
67,20,0
8,20,1
67,21,0
108,21,2
67,22,0
86,22,1
108,22,2
67,23,0
108,23,2
67,24,0
106,24,2
67,25,0
86,25,2
108,25,2
67,26,0
100,26,1
66,26,1
39,26,1
15,26,1
22,26,1
96,26,1
8,26,1
64,26,1
108,26,1
86,26,1
73,26,1
27,26,1
20,26,1
67,27,0
96,27,1
67,28,0
106,28,1
67,29,0
96,29,1
67,30,0
22,30,1
67,31,0
96,31,1
64,31,1
108,31,1
67,32,0
96,32,1
67,33,0
96,33,1
67,34,0
96,34,1
67,35,0
96,35,1
67,36,0
96,36,1
67,37,0
96,37,1
67,38,0
96,38,1
67,39,0
96,39,1
67,40,0
96,40,1
67,41,0
96,41,1
67,42,0
96,42,1
67,43,0
108,43,1
67,44,0
96,44,1
67,45,0
96,45,1
67,46,0
96,46,1
67,47,0
108,47,2
67,48,0
108,48,1
67,49,0
108,49,1
67,50,0
15,50,1
67,51,0
108,51,1
67,52,0
108,52,2
67,53,0
108,53,1
67,54,0
22,54,1
67,55,0
108,55,1
67,56,0
96,56,1
22,56,1
67,57,0
39,57,2
67,58,0
96,58,1
67,59,0
8,59,1
67,60,0
39,60,1
8,60,1
67,61,0
8,61,1
67,62,0
64,62,1
22,63,0
66,63,1
39,63,1
67,64,0
108,64,1
96,65,0
67,65,1
96,66,0
86,66,1
67,66,2
112,67,0
66,67,1
108,68,0
64,68,1
96,69,0
55,69,1
67,70,0
96,70,1
96,71,0
64,71,2
66,72,0
67,72,1
39,72,1
27,73,0
8,73,1
67,74,0
66,74,1
67,75,0
8,75,1
108,76,0
67,76,1
96,77,0
108,77,1
67,77,1
96,78,0
55,78,1
108,79,0
67,79,1
67,80,0
108,80,1
108,81,0
67,81,2
108,82,0
67,82,2
108,83,0
55,83,1
108,84,0
67,84,1
96,85,0
67,85,1
96,86,0
64,86,1
96,87,0
64,87,1
67,88,0
96,88,1
8,88,1
67,89,0
22,89,2
96,89,2
108,90,0
67,90,2
67,91,0
8,91,1
96,92,0
67,92,1
22,93,0
67,93,1
67,94,0
8,94,1
108,95,0
67,95,2
67,96,0
108,96,1
22,97,0
39,97,1
108,98,0
64,98,1
108,99,0
67,99,1
96,100,0
108,100,1
22,101,0
7,101,1
86,102,0
112,102,1
96,103,0
64,103,2
108,104,0
67,104,1
108,105,0
64,105,1
96,105,1
67,105,1
8,105,1
108,106,0
106,106,1
108,107,0
106,107,1
108,108,0
64,108,1
8,108,2
96,109,0
55,109,1
108,110,0
25,110,1
22,111,0
7,111,1
108,112,0
67,112,1
108,113,0
67,113,2
108,114,0
8,114,1
108,115,0
64,115,1
96,115,1
67,115,1
8,115,1
96,116,0
64,116,1
96,117,0
64,117,1
67,118,0
22,118,1
108,119,0
64,119,1
96,119,1
67,119,1
8,119,1
112,120,0
66,120,1
108,121,0
64,121,1
96,121,1
67,121,1
8,121,1
3,121,1
67,122,0
96,122,1
8,122,1
64,122,1
108,122,1
67,123,0
96,123,1
8,123,1
64,123,1
108,123,1
22,124,0
7,124,2
96,125,0
55,125,1
67,126,0
106,126,2
108,127,0
8,127,1
108,128,0
8,128,1
86,129,0
112,129,1
86,130,0
112,130,1
86,131,0
112,131,1
108,132,0
67,132,1
108,133,0
67,133,2
108,134,0
8,134,1
67,135,0
96,135,1
96,136,0
67,136,1
86,137,0
112,137,1
22,138,0
7,138,1
27,139,0
105,139,1
96,140,0
8,140,1
27,141,0
27,141,1
22,142,0
7,142,1
67,143,0
55,143,1
96,144,0
8,144,1
27,145,0
105,145,1
108,146,0
67,146,1
108,147,0
55,147,1
86,148,0
78,148,1
67,149,0
106,149,1
22,150,0
57,150,1
67,151,0
66,151,2
108,152,0
67,152,1
27,153,0
105,153,1
96,154,0
8,154,1
27,155,0
105,155,1
96,156,0
55,156,1
96,157,0
67,157,1
27,158,0
105,158,1
67,159,0
96,159,1
8,159,1
64,159,1
108,159,1
27,160,0
105,160,1
27,161,0
105,161,1
27,162,0
105,162,1
86,163,0
112,163,1
96,164,0
64,164,1
67,165,0
64,165,1
96,166,0
64,166,1
96,167,0
67,167,1
8,167,1
64,167,1
108,167,1
108,168,0
64,168,1
96,168,1
67,168,1
8,168,1
96,169,0
55,169,1
86,170,0
106,170,1
67,171,0
106,171,1
86,172,0
28,172,1
108,173,0
64,173,1
96,173,1
67,173,1
8,173,1
96,174,0
55,174,1
96,175,0
67,175,1
8,175,1
64,175,1
108,175,1
86,176,0
66,176,1
96,177,0
67,177,2
67,178,0
64,178,1
96,179,0
67,179,1
67,180,0
96,180,1
22,181,0
86,181,1
96,182,0
67,182,2
96,183,0
67,183,1
96,184,0
55,184,1
96,185,0
55,185,1
96,186,0
67,186,1
108,187,0
67,187,2
22,188,0
7,188,1
22,189,0
7,189,1
86,190,0
106,190,1
96,191,0
67,191,1
108,192,0
64,192,1
96,192,1
67,192,1
8,192,1
22,193,0
7,193,1
22,194,0
66,194,1
22,195,0
57,195,1
108,196,0
67,196,2
22,197,0
57,197,1
67,198,0
96,198,1
64,198,2
108,198,2
8,198,2
67,199,0
39,199,1
108,200,0
106,200,1
96,201,0
67,201,1
96,202,0
64,202,2
96,203,0
64,203,1
96,204,0
64,204,1
96,205,0
55,205,1
67,205,1
67,206,0
96,206,1
22,207,0
7,207,1
108,208,0
67,208,1
67,209,0
96,209,1
96,210,0
67,210,1
108,211,0
8,211,1
96,212,0
64,212,1
108,213,0
22,213,1
96,214,0
64,214,1
96,215,0
64,215,1
67,216,0
100,216,1
39,216,1
22,216,1
67,217,0
39,217,1
108,218,0
64,218,1
67,219,0
100,219,1
39,219,1
22,219,1
67,220,0
108,220,1
96,221,0
8,221,1
67,222,0
108,222,1
96,223,0
55,223,1
96,224,0
64,224,1
67,225,0
108,225,1
67,226,0
100,226,1
39,226,1
22,226,1
96,227,0
64,227,1
96,228,0
64,228,1
96,229,0
64,229,1
67,230,0
96,230,1
96,231,0
55,231,1
96,232,0
55,232,1
96,233,0
67,233,2
67,234,0
8,234,1
67,235,0
8,235,1
67,236,0
8,236,1
22,237,0
57,237,1
39,237,2
27,238,0
105,238,1
67,239,0
96,239,1
8,239,1
67,240,0
108,240,1
96,241,0
67,241,1
96,242,0
64,242,1
67,243,0
108,243,1
67,244,0
108,244,1
112,245,0
19,245,1
86,246,0
112,246,1
112,247,0
28,247,1
66,247,1
67,248,0
108,248,1
96,249,0
64,249,1
61,250,0
61,250,2
96,251,0
67,251,1
96,252,0
64,252,1
108,253,0
64,253,1
96,253,1
67,253,1
8,253,1
96,254,0
55,254,1
96,255,0
67,255,1
55,255,2
96,256,0
64,256,1
108,256,1
8,256,1
67,256,1
108,257,0
8,257,1
108,258,0
96,258,1
108,259,0
64,259,1
96,259,1
67,259,1
8,259,1
67,260,0
39,260,1
100,260,1
22,260,1
108,261,0
67,261,1
108,262,0
67,262,1
67,263,0
67,263,1
93,264,0
102,264,1
101,264,2
38,264,2
13,264,2
98,264,2
22,265,0
7,265,1
22,266,0
7,266,1
67,267,0
100,267,1
22,268,0
66,268,1
108,269,0
67,269,1
22,269,1
108,270,0
64,270,1
96,270,1
67,270,1
8,270,1
108,271,0
67,271,2
67,272,0
108,272,1
67,273,0
108,273,1
22,274,0
7,274,1
22,275,0
7,275,1
22,276,0
7,276,1
108,277,0
96,277,1
22,278,0
66,278,1
39,278,1
86,278,1
108,279,0
67,279,2
67,280,0
66,280,2
96,281,0
55,281,1
108,282,0
67,282,2
96,283,0
55,283,2
67,284,0
64,284,1
67,285,0
8,285,1
66,286,0
22,286,1
96,287,0
8,287,1
108,288,0
67,288,2
108,289,0
64,289,1
67,290,0
108,290,1
67,291,0
108,291,2
67,292,0
96,292,2
8,292,2
64,292,2
108,292,2
108,293,0
67,293,2
96,294,0
8,294,1
108,295,0
64,295,1
86,296,0
112,296,1
108,297,0
64,297,1
108,298,0
8,298,1
67,298,1
96,298,1
108,299,0
64,299,1
96,299,1
67,299,1
8,299,1
45,299,1
108,300,0
64,300,1
15,301,0
39,301,1
96,302,0
64,302,2
108,303,0
67,303,2
108,304,0
64,304,1
108,305,0
64,305,1
96,305,1
67,305,1
8,305,1
108,306,0
7,306,1
96,307,0
64,307,2
15,308,0
39,308,2
15,309,0
85,309,1
108,310,0
96,310,1
96,311,0
108,311,1
108,312,0
96,312,1
108,313,0
39,313,1
100,313,1
96,313,1
96,314,0
67,314,2
8,314,2
96,315,0
64,315,1
108,316,0
96,316,1
96,317,0
108,317,2
8,317,2
64,317,2
96,318,0
55,318,1
108,318,2
108,319,0
67,319,1
108,320,0
67,320,1
108,321,0
96,321,1
96,322,0
8,322,1
96,323,0
55,323,1
96,324,0
108,324,1
108,325,0
67,325,1
108,326,0
39,326,1
100,326,1
96,326,1
108,327,0
39,327,1
96,328,0
108,328,1
108,329,0
102,329,1
39,329,2
108,330,0
39,330,2
108,331,0
39,331,2
96,331,2
108,332,0
39,332,1
108,333,0
96,333,1
8,333,1
108,334,0
39,334,2
67,334,2
96,335,0
8,335,1
64,335,1
108,335,1
108,336,0
96,336,1
96,337,0
8,337,1
96,338,0
8,338,1
64,338,1
108,338,1
108,339,0
96,339,1
102,340,0
72,340,1
108,341,0
96,341,1
8,341,1
96,342,0
64,342,1
96,343,0
8,343,1
67,343,1
64,343,1
108,343,1
96,344,0
64,344,1
96,345,0
8,345,1
67,345,1
64,345,1
108,345,1
96,346,0
8,346,1
96,347,0
64,347,1
108,348,0
96,348,1
27,349,0
15,349,2
86,350,0
66,350,1
108,351,0
67,351,1
108,352,0
8,352,1
96,353,0
8,353,1
27,354,0
21,354,1
108,355,0
67,355,2
108,356,0
96,356,2
67,356,2
64,356,2
108,357,0
8,357,1
108,358,0
67,358,1
108,359,0
64,359,1
96,359,1
67,359,1
8,359,1
102,360,0
72,360,1
102,361,0
72,361,1
96,362,0
55,362,1
96,363,0
64,363,1
96,364,0
55,364,1
22,365,0
7,365,1
96,366,0
8,366,1
108,367,0
100,367,1
39,367,1
15,367,1
22,367,1
96,367,1
8,367,1
67,367,1
64,367,1
20,367,1
108,368,0
67,368,2
22,369,0
67,369,1
67,370,0
100,370,1
39,370,1
15,370,1
22,370,1
96,370,1
8,370,1
64,370,1
20,370,1
108,370,1
108,371,0
67,371,1
108,372,0
64,372,1
22,373,0
7,373,1
96,374,0
67,374,2
96,375,0
67,375,2
96,376,0
64,376,1
96,377,0
64,377,1
108,378,0
67,378,2
39,378,2
108,379,0
67,379,2
96,380,0
67,380,2
108,381,0
8,381,1
96,382,0
55,382,1
96,383,0
55,383,1
96,384,0
64,384,1
108,385,0
64,385,1
96,385,1
67,385,1
8,385,1
55,386,0
30,386,1
55,386,2
86,387,0
112,387,1
96,388,0
55,388,2
96,389,0
67,389,2
8,389,2
22,390,0
67,390,1
108,391,0
67,391,2
108,392,0
8,392,1
27,393,0
21,393,1
108,394,0
8,394,1
108,395,0
64,395,1
96,395,1
67,395,1
8,395,1
66,396,0
39,396,1
86,397,0
112,397,1
108,398,0
8,398,1
67,399,0
22,399,1
67,400,0
108,400,1
108,401,0
67,401,1
8,401,1
108,402,0
67,402,1
67,403,0
96,403,1
8,403,1
64,403,1
108,403,1
108,404,0
67,404,2
67,405,0
108,405,1
67,406,0
108,406,1
66,407,0
100,407,1
67,408,0
96,408,1
22,409,0
66,409,1
39,409,2
96,410,0
67,410,1
22,411,0
7,411,1
86,412,0
112,412,1
67,413,0
22,413,2
67,414,0
100,414,1
39,414,2
108,415,0
67,415,2
96,416,0
55,416,1
96,417,0
67,417,1
108,418,0
67,418,1
108,419,0
67,419,1
108,420,0
8,420,2
96,421,0
64,421,1
67,422,0
108,422,1
96,423,0
64,423,1
96,424,0
64,424,1
108,425,0
67,425,1
96,426,0
64,426,1
96,427,0
64,427,1
22,428,0
39,428,1
66,428,1
67,428,1
96,429,0
8,429,1
96,430,0
8,430,1
96,431,0
67,431,1
108,431,2
96,432,0
67,432,1
8,432,1
64,432,1
108,432,1
96,433,0
64,433,1
112,434,0
66,434,1
108,435,0
67,435,2
108,436,0
8,436,1
64,436,1
108,437,0
8,437,1
22,438,0
7,438,1
67,439,0
8,439,1
108,440,0
39,440,1
67,440,2
66,441,0
22,441,1
39,441,1
67,441,1
67,442,0
22,442,2
67,443,0
8,443,1
86,444,0
28,444,2
66,444,2
108,445,0
100,445,1
39,445,1
22,445,1
67,445,1
67,446,0
22,446,1
27,447,0
21,447,1
67,448,0
108,448,2
96,448,2
27,449,0
21,449,1
112,450,0
66,450,1
67,451,0
108,451,1
108,452,0
67,452,1
67,453,0
8,453,1
67,454,0
108,454,1
96,455,0
64,455,2
96,456,0
64,456,2
22,457,0
39,457,1
66,457,2
96,458,0
64,458,2
96,459,0
64,459,1
67,460,0
108,460,1
96,461,0
67,461,2
108,462,0
67,462,1
108,463,0
67,463,1
108,464,0
67,464,2
108,465,0
67,465,2
108,466,0
67,466,2
108,467,0
67,467,1
67,468,0
39,468,1
108,469,0
67,469,1
108,470,0
67,470,1
108,471,0
67,471,2
108,472,0
67,472,2
22,473,0
35,473,1
27,474,0
21,474,1
108,475,0
8,475,1
108,476,0
67,476,2
22,477,0
35,477,1
27,478,0
21,478,1
96,479,0
55,479,1
96,480,0
55,480,1
108,481,0
67,481,1
96,482,0
67,482,1
96,483,0
64,483,1
108,484,0
8,484,1
67,485,0
96,485,1
8,485,1
64,485,1
108,485,1
112,486,0
66,486,1
96,487,0
64,487,1
108,488,0
67,488,2
108,489,0
67,489,1
67,490,0
8,490,1
96,491,0
55,491,1
108,492,0
67,492,2
108,493,0
67,493,2
66,494,0
112,494,1
67,495,0
8,495,1
96,495,2
64,495,2
108,495,2
108,496,0
67,496,2
108,497,0
67,497,1
108,498,0
22,498,1
108,499,0
67,499,2
96,500,0
8,500,1
96,501,0
64,501,2
96,502,0
55,502,1
96,503,0
67,503,1
67,504,0
96,504,1
96,505,0
67,505,1
67,506,0
96,506,1
