source,target,weight
0,6,1.0
0,11,1.0
0,48,1.0
0,57,1.0
0,77,1.0
0,90,8.0
0,92,1.0
0,99,1.0
1,30,1.0
1,67,1.0
1,78,0.25
2,44,0.25
4,12,1.0
4,18,8.0
4,55,1.0
4,96,1.0
4,102,0.25
5,2,0.25
5,4,1.0
5,9,0.25
5,10,1.0
5,18,0.25
5,22,1.0
5,24,1.0
5,30,3.0
5,31,0.5
5,34,0.5
5,38,1.0
5,39,6.0
5,43,1.0
5,44,18.0
5,51,2.25
5,55,11.0
5,56,1.0
5,57,1.0
5,58,4.0
5,62,3.0
5,63,1.0
5,67,1.0
5,76,0.75
5,78,3.0
5,89,4.0
5,92,5.0
5,100,1.0
5,102,1.75
5,109,2.0
7,18,2.0
7,21,3.0
7,27,2.0
7,38,2.0
7,55,6.0
7,62,5.0
7,81,3.0
7,97,2.0
8,7,1.0
8,19,1.0
8,21,16.5
8,34,3.0
8,38,11.25
8,52,2.0
8,53,0.5
8,61,7.0
8,63,71.5
8,81,3.0
8,91,100.75
8,95,10.25
8,103,55.25
9,18,1.0
9,27,1.0
9,29,1.0
9,51,0.25
9,54,1.0
9,58,1.25
9,60,0.25
9,74,1.5
10,2,3.0
10,3,2.25
10,25,0.25
10,44,5.0
10,55,2.0
10,67,0.25
10,72,0.25
10,78,0.25
10,98,0.25
10,102,3.0
11,0,10.25
11,1,1.0
11,6,2.0
11,16,1.0
11,30,7.0
11,38,5.25
11,48,130.25
11,56,18.0
11,57,30.75
11,65,4.25
11,80,1.0
11,92,33.75
11,99,15.25
11,104,2.25
12,20,8.0
12,37,1.0
12,50,1.0
12,54,2.0
12,64,1.0
12,87,15.0
12,88,1.25
14,3,9.25
14,19,37.75
14,22,1.0
14,26,2.0
14,30,2.0
14,34,1.0
14,38,15.75
14,40,15.5
14,53,12.25
14,56,4.0
14,63,1.25
14,75,2.5
14,80,1.0
14,81,2.25
14,95,47.0
14,98,0.5
14,103,1.0
14,105,1.25
15,107,1.0
16,14,1.0
16,22,1.0
16,80,1.0
17,23,7.0
17,30,0.25
17,31,1.0
17,72,1.0
17,79,42.25
17,86,3.0
17,100,1.0
18,3,10.25
18,4,2.0
18,15,1.0
18,21,1.0
18,24,1.0
18,27,9.0
18,30,8.5
18,32,1.0
18,37,6.25
18,39,14.25
18,43,5.25
18,44,69.25
18,51,81.0
18,54,6.0
18,55,33.25
18,58,1.0
18,62,26.0
18,69,0.25
18,74,2.75
18,78,7.75
18,81,1.25
18,82,7.75
18,83,15.75
18,89,10.25
18,90,1.0
18,92,8.5
18,94,1.25
18,97,7.25
18,109,4.0
19,3,0.25
19,6,2.0
19,8,2.0
19,14,71.75
19,26,15.5
19,31,1.0
19,34,41.25
19,38,44.25
19,40,1.0
19,52,2.0
19,53,21.75
19,56,9.0
19,57,1.0
19,61,1.0
19,92,3.25
19,95,71.5
20,12,3.0
20,26,0.25
20,35,1.5
20,64,171.5
20,70,0.5
20,82,0.25
20,87,10.0
20,88,0.25
20,94,0.25
20,96,3.5
20,97,0.25
20,100,123.0
20,103,0.25
21,7,137.25
21,8,29.25
21,15,1.0
21,18,3.0
21,27,4.0
21,34,16.75
21,38,22.25
21,52,2.5
21,53,1.0
21,55,20.75
21,62,36.25
21,63,10.0
21,69,5.0
21,81,22.75
21,82,2.5
21,97,5.0
21,103,4.0
22,14,2.0
22,16,0.25
22,17,3.0
22,31,1.0
22,65,1.0
22,67,173.0
22,77,5.0
22,79,112.75
22,100,1.25
23,17,1.75
23,43,8.0
23,73,1.25
23,79,1.0
23,100,5.25
24,6,1.0
24,10,1.0
24,18,1.0
24,27,4.0
24,30,1.25
24,36,3.0
24,39,5.25
24,42,1.0
24,43,2.0
24,44,4.25
24,78,1.25
24,89,1.0
24,102,9.0
25,67,1.0
25,72,2.0
26,3,42.5
26,8,1.0
26,11,3.0
26,14,5.25
26,19,17.5
26,20,7.0
26,21,1.0
26,38,5.0
26,62,0.25
26,63,6.5
26,69,0.5
26,81,3.0
26,100,23.0
26,103,1.0
27,18,1.0
27,24,1.0
27,30,1.0
27,39,5.0
27,43,4.0
27,44,11.0
27,81,1.0
27,83,2.0
27,92,1.0
27,109,1.0
30,1,4.0
30,14,1.0
30,17,1.0
30,24,1.0
30,31,1.0
30,38,2.0
30,39,2.0
30,43,1.0
30,44,8.0
30,56,1.0
30,65,2.0
30,72,1.0
30,75,1.0
30,78,3.0
30,90,1.0
30,92,2.0
30,104,1.0
31,44,1.0
32,62,1.0
32,81,2.0
33,0,2.0
33,3,1.0
33,31,3.25
33,67,1.0
33,72,7.0
33,78,7.0
33,80,5.0
33,98,1.0
33,105,10.5
34,2,0.25
34,7,7.5
34,8,9.0
34,14,8.0
34,18,3.25
34,19,9.0
34,21,26.25
34,26,9.0
34,27,3.0
34,30,1.25
34,31,0.25
34,32,9.25
34,38,24.0
34,39,2.25
34,40,5.25
34,43,1.25
34,44,4.25
34,49,0.25
34,51,0.25
34,52,9.0
34,53,3.0
34,55,1.25
34,57,0.25
34,58,0.75
34,60,0.5
34,61,2.0
34,62,0.25
34,63,27.0
34,69,13.0
34,74,1.25
34,76,0.25
34,78,1.25
34,81,28.0
34,82,2.0
34,83,1.0
34,89,1.25
34,91,9.0
34,92,1.25
34,95,9.0
34,97,1.0
34,103,9.0
34,107,9.0
35,3,7.25
35,18,15.5
35,20,13.0
35,21,0.25
35,24,1.0
35,27,8.0
35,37,1.0
35,38,1.0
35,44,13.0
35,45,148.75
35,55,1.0
35,62,1.0
35,68,31.5
35,70,0.25
35,72,1.0
35,78,12.25
35,81,205.0
35,82,626.25
35,83,0.25
35,88,14.75
35,97,48.5
35,100,36.0
35,107,4.25
35,109,1.0
36,10,1.0
36,42,1.0
36,71,1.0
37,29,1.0
37,63,1.0
37,74,1.0
37,83,1.0
37,93,0.25
37,94,4.0
38,14,1.25
38,19,0.25
38,21,0.25
38,34,1.5
38,40,2.0
38,62,2.25
38,63,1.5
38,69,1.0
38,81,2.25
38,92,0.25
38,95,1.0
39,9,10.0
39,18,4.0
39,24,4.0
39,27,3.0
39,29,2.0
39,30,3.0
39,32,0.25
39,37,4.0
39,43,6.0
39,44,8.0
39,50,1.0
39,55,1.0
39,60,1.0
39,62,2.5
39,69,1.0
39,72,2.0
39,74,44.0
39,78,2.0
39,82,1.0
39,83,6.5
39,89,1.5
39,90,1.0
39,92,1.0
39,94,3.0
39,97,1.0
39,109,7.25
40,14,1.0
40,19,1.0
40,26,1.0
40,52,1.0
40,53,0.25
40,62,1.5
40,81,0.25
40,95,1.0
41,18,1.0
41,94,2.0
42,10,1.0
43,23,11.0
43,24,3.0
43,27,10.0
43,30,2.0
43,31,48.5
43,37,0.25
43,38,1.0
43,39,12.25
43,44,35.0
43,55,2.0
43,58,2.0
43,59,3.25
43,60,15.0
43,73,39.25
43,77,3.0
43,78,2.0
43,83,0.25
43,90,1.0
43,92,1.0
43,100,0.25
43,109,3.0
44,2,12.0
44,3,4.0
44,5,1.0
44,10,3.0
44,15,1.0
44,18,50.0
44,24,3.0
44,27,10.5
44,30,5.0
44,37,1.0
44,38,1.0
44,39,11.0
44,43,27.0
44,51,0.25
44,54,1.0
44,55,26.25
44,58,31.5
44,60,2.0
44,62,5.0
44,72,1.25
44,78,7.0
44,82,2.0
44,83,26.0
44,89,2.0
44,92,4.0
44,97,1.0
44,109,3.0
46,36,2.0
46,102,1.0
